 i'm john doe tag, not question
 so the knapsack problem, not question
 looking at his food, not question
 and says i'm lost how do i get to carnegie hall the taxi driver turns to the person says practice practice practice, not question
 but you can solve it with what's called a greedy algorithm will talk much more about this is we go forward, not question
 yes which of these might be the most valuable items here, not question
 can't avoid using optimization algorithm as you as you get through life, not question
 where you take the best thing first as long as you can, not question
 reading assignments in the textbooks, not question
 i'll be a few additional bits of iphone today for example will talk about lambda abstractions, not question
 so let's talk first about optimization models, not question
 is moving out of the wet lab, not question
 in words written words what i just said or like, not question
 if three is one, not question
 some, not question
 i commute to work using ways which essentially is solving not very well i believe in optimization problem to minimize my time from home to here, not question
 so once i take one thing at constrains possible solutions, not question
 it minimizes the total travel time, not question
 and essentially, not question
 and as well see there's an asymmetry here, not question
 and the continuous the zero one, not question
 if you talk six triple zero one or you took the six tripple zero one advanced standing exam, not question
 something like that, not question
 it would be illustrated by something like this, not question
 because i'll be more focus on the problem to be solved and on the actual programming the lecture content more abstract, not question
 so we have, not question
 to each element of the vector represents an item, not question
 i should point out that there are two variants of it there's the zero one knapsack problem, not question
 so maybe, not question
 preferably python three point five, not question
 is four to build the model that explains phenomena we see every day, not question
 what's the work load their problem sex do all the programming problems much in the style of six tripple zero one, question
 you'll be fine, not question
 hopefully it will go a little bit smoother than in the last problem set in, not question
 None, not question
 we use these things all the time, not question
 we've tried to choose different examples for lectures and from the textbooks for the most part, not question
 about programming but, not question
 point is technically knapsack problems are not physical knapsack split some conceptual idea, not question
 or so for example from going from new york to boston, not question
 or maybe i have to be in boston before five pm and while the bus would get me there before, not question
 when you travel maybe you log into to various advisory programs that that that trying optimize things for you, not question
 i knew pause for a second, not question
 is, not question
 and the gold, not question
 the first time i talked about the knapsack problem i neglected to show a picture of an app sac, not question
 i do want you to hold your programming skills, not question
 None, not question
 value of the item, not question
 well you fill up your knapsack with gold, not question
 i apologize for the short variable names but they are easy to fit on a slide finally will have a vector l, not question
 so my check to function would be the number of minutes spent in transit getting from a to b, not question
 it's interesting again there thing showing up on your screen not showing up on my screen, not question
 my least favorite cuz i always wanna eat more than i'm supposed to be, not question
 maybe twelve hundred calories and everything else is more than three hundred, not question
 if you still in last place when you take as many reasons that you can fit in, not question
 you haven't run out of space your mouth puts over until you run out of space, not question
 i'll get the most for this when i fence it, not question
 i take that whole bar or i take none of it, not question
 and then we can build probably a slightly different model that might predict what will be like, not question
 None, not question
 they're all over the place today you really, not question
 we can build models that sort of explain how the climate changed over the millennia, not question
 anything to install the continuous problem, not question
 None, not question
 it's in the ready maximize to minimize, not question
 and constraint it has to fit in my backpack, not question
 lectures will be an ad in speaking you from mr clean a bit faster paced, not question
 is this something we had an items to choose from, not question
 as we'll talk about it traditional experimentation will is and will remain important, not question
 that eliminates some solutions, not question
 None, not question
 and into the computer, not question
 because once you make a decision it will affect the future decisions, not question
 it will help mi to open course ware continue to offer high quality educational resources for free, not question
 so here it is, not question
 we then off and have to wear on top of that objective function, not question
 so you can think of for example climate change model, not question
 it maximizes the some, not question
 and a set of constraints, not question
 and the course is really less about programming and more about dipping your toe into the exotic world data science, not question
 the sex with students reported in the path, not question
 and these are my options, not question
 i've already posted the first reading assignment, not question
 while baking a constraint, not question
 now it has to really be supplemented by computation, not question
 we have to obey, not question
 what setting in your head, question
 tv the ran out of gold ran out of space, not question
 gonna try and find a vector of the, not question
 the typical models and simulation models, not question
 by the constraints there on the amount of money i can spend, not question
 familiarity with concepts of computational complexity you'll see even in today's lecture will be assuming that, not question
 inevitably some comments about software engineering had a structure code, not question
 and so maybe what i'm left with is, not question
 recitation says, not question
 so lot of, not question
 a greedy algorithm as we'll see if not guarantee to give me the best answer alright let's look at a formal was asian of it, not question
 i'm, not question
 it's easy to self, not question
 is gonna indicate whether or not an item was taken, not question
 sometimes not, not question
 they should provide you a very different take on the same material covering and lectures, not question
 the programming assignments are going to be a bit easier, not question
 maybe if i take my gold bar and she didn't gold dust, not question
 i'm, not question
 okay so those are the items we have and then another vector v, not question
 continuous knapsack problem is really boring, not question
 None, not question
 so the zero one knapsack problem mean she will you take the object are you don't, not question
 set of constraints, not question
 they're harmless things like how my mouse works, not question
 driving, not question
 let me start with a few administrative things, not question
 are mostly about you learning to be a programmer, not question
 finger exercises small things if they're taking you more than fifteen minutes, not question
 so just shows i can now very nicely represent what i've done by single vector, not question
 increasingly i'm sure you all see that you were science majors and increasing reliance on computation, not question
 a lot of that carries over no woman has to be a programmer in half a semester, not question
 of no more than we, not question
 so it, not question
 and i should probably warn you if your hungry this is not gonna be a fun lecture so here's, not question
 stealing the stuff with the most value, not question
 let us know they really shouldn't, not question
 and that's typically the way we deal with these optimization problems we start with some informal description and then we translate them into mathematical representation, not question
 None, not question
 it can help us to either understand something that has happened, not question
 suppose you had over here a pile of gold and a pile of silver and a pile raisins, not question
 i have to go about deciding, not question
 so you get to see things in two thousand different ways, not question
 oh hang on to your seats, not question
 here is, not question
 then can say well the whole thing won't fit in but i can fit in a pass part of it, not question
 i can't handle these two things differently, not question
 to make a donation or to view additional materials from hundreds of them it courses, not question
 of zeros and ones, not question
 zero one knapsack problem as much more complicated, not question
 and the problem sets are designed to help cement back as well just give you programming experience, not question
 in there generally designed to help you learn a single concept usually programming concept, not question
 important to get this set up because we're gonna see now depends upon, not question
 alright prerequisites experience writing object oriented programs in python on, not question
 times by supply, not question
 we have lots of jessie's of both and genders, not question
 we're never gonna make that mistake again, not question
 None, not question
 it's a very powerful feeling that month contract contract but not the demonstration i want dora anybody thinking i'm cheating so that's just, not question
 situations in which somebody doesn't, not question
 what a little bit more confrontational but when it which was very familiar to but i want to first grade most cases it's the problem of the farmer the fox news in the rain, not question
 approach to a problem, not question
 None, not question
 oh my mac and explain the best by filling up with example, not question
 so here's how it works, not question
 None, not question
 and then i'll give me a little bit of the history of artificial intelligence and conclude with some of the covenants by which we run the course one of which is no laptops please, not question
 so i can use to, not question
 he ran into someone at a bar or rolls and ask you what you doing my t, not question
 None, not question
 how's the first of our powerful ideas for today, question
 the sycamore something, not question
 the rain, not question
 and maybe a picture of a farmer, not question
 that's pretty simple as turning pages when the time, not question
 are done can you change your hairstyle want do sure you thane of car doors not taking the course this semester, not question
 how many such situations are there, question
 individuals can be on one side or the other, not question
 but i wanna give you a second example, not question
 next twenty four hours to, not question
 what is it a country, question
 i know where to class i hope it's not the last of the species, not question
 is the wheel comes flying over the top my blunt like what's gonna happen one piece, question
 why are there not sixteen, question
 None, not question
 and the allowed connections between them, not question
 until i find something looks like the sleeve, not question
 it's such a simple idea owner here to get in the subject but it need to adhere repertoire of problem solving methods techniques and ten procedures algorithms, not question
 tune in for something a power over you start to talk about so i can save you doing in generate and test, not question
 None, not question
 making a model of the facilitate an understanding, not question
 explain why we have these covenants at the end, not question
 some possible solutions, not question
 so we talking about this frequently from now on the rest this master the power of being able to name things, not question
 why do some brown sugar just to be sure, not question
 and here's the farmer, not question
 that's the one where the other, not question
 so much about you're going to accumulate in the subject is a sweet of representations that will help you to build programs are intelligent, not question
 all for the suitable song at some point, not question
 there's a scenario and here and glorious green representing our elves i infested reverses the river, not question
 nice cover, not question
 you're a bunch of interesting people it's always interesting to see what people named their children two decades ago and i finally were overwhelmed with families and their not too many peters pauls and mary's but enough to, not question
 None, not question
 alex is now never going to get the gyroscope wrong because he's got the right representation, not question
 well i don't know either that on my trees or my colors or my multiplication tables so i have to go back to this book the audubon society field guide to north american trees and how to solve the problem, not question
 that's powerful poison, not question
 pm into a box the test them and then the other side comes mostly failures, not question
 procedures over my call and just as well methods whenever you like these are the stuff of what artificial intelligence about methods algorithms representations like the one more example, not question
 and if this were a philosophy class that stuff right there and just say, not question
 is that will put their hand and arthritic posture color right can screw rule aptly named because people who use a ten to get the right answer about fifty percent of the time, not question
 None, not question
 initial situation now course there are other situations like this one for example, not question
 that's exceeds and places us, not question
 None, not question
 so very position the farmer can be each of the other things can be on either side of the river, not question
 reception and action, not question
 actually figure out how many customers you get for the number of advertisements replacing the newspaper, not question
 should be the same solution twice, not question
 explain the past predict the future understand the subject and control the world, not question
 None, not question
 they should be informal, not question
 not a representation for let's say that artificial intelligence is about representation, not question
 None, not question
 you better believe generator with for certain properties that make generators good for compilation not be redundant, not question
 it's the graph of situations, not question
 with the models using probabilities will models using physical and computational simulations, not question
 what's the right representation for this problem, question
 what i'm going to do is tell you about artificial intelligence today and with the subject is about, not question
 at what time it is about that with the sun's about to will and now our model for models of thinking, not question
 it's gonna go off now right next piece is going off that way to, not question
 that's something we call artificial intelligence generated test, not question
 because after all in the, not question
 thinking perception and action and they should not be strange to, not question
 please, not question
 with me like all for, not question
 others are, not question
 enable, not question
 fucks produce, not question
 there's been about a ten percent turnover in the in the in the roster in the last twenty four hours i spent another ten percent turnover, not question
 the tree leaf i picked off a tree, not question
 i guarantee that what they will do, not question
 symbolic labels gives power over concepts what are you i should also say this is a very simple idea generate, not question
 to be two for a few says aggressively and without hesitation asked for sixteen possibility so we can actually draw out the entire graphic small enough, not question
 None, not question
 so what you have a neighbor something and start talking about it and the vocabulary gives you power so they call us the rumpelstiltskin principle, not question
 we might grab picture looks like this, not question
 advil programs so it's about it's about algorithms, not question
 my constraints expose my representation that my mouth started thinking perception action so rooms of my call them just as well, not question
 we know that those are not the right representation somehow we get the sense the right representation must of all something about the location of the participants in the scenario, not question
 to add something it's a good very good so what you know the name you start to talk about it so you know the person i was pretty much like a wedding on the end of a rope, not question
 with a tiny, not question
 generate and test method consists of generating, not question
 None, not question
 goose is on that side the fox and the rain is on that side, not question
 cuz algebraic notation exposes the constraints that make it possible, not question
 so we're going to say it's not only about thinking it's also about perception, not question
 i have never, not question
 hi welcome to six three four, not question
 there's another position over here with a farmer fox news and drain the fact is the only one, not question
 and my beer pong about the situation pepsi high can, not question
 and that's why we build representation that's why do algebra in high school, not question
 i'm thinking perception and actually now my city well what's a representation a good can i do so like to take a brief moment to tell you about gyroscope now many of you have friends in chemical engineering what are the best ways to embarrass them is to say here's a bicycle will and if i spent an and blow hard on right here on the edge of the wheel is about turnover this way or this way, not question
 some olives targeted thinking perception and action may no that's not quite enough because or have model, question
 in the subject we're going to talk about problems involving thinking, not question
 so when i do that usually very intuitive very natural sunny do all the time or any of the name we're gonna call generate and test, not question
 and we know that the farmer and execute the movement from one situation to another, not question
 None, not question
 so now we're getting somewhere with the problem it's them it approach the former fox news and gray problem i'll stop you in your little kid, not question
 all because the other how many i got for ten, not question
 them it approaches to make models, not question
 because we are electrical engineers not mechanical engineers we know about representation we're gonna do is we're think about a little bit when using duck tape to help us think about just one piece of the wheel sandwiches think about that piece the wheel, not question
 so when i go into those places so having got the representation write something magical has happened we get our constraints exposed, not question
 they're targeting that, not question
 i'm going to start by talking about what artificial intelligence is and why we do it, not question
 yes i do believe and i have a name for much have a name for something, not question
 is it, not question
 looks like there's, not question
 this not of lost the glasses of course six classes in engineering school class of them it plus so many more than that and therefore we're going to talk about models, not question
 so i might say well if we take this class will i get smarter than the answer is yes you will get smarter because my better model of your own thinking not just the subject matter of the subject the better models of your own thinking, not question
 seven is full of powerful ideas me some every class, not question
 whatever we do with the models in humanities class, not question
 good thing she's chattering like mad at something we'll talk about later to motor stuff and how it helps thing, not question
 with, not question
 i should be able to absorb information such as this is a deciduous tree don't bother looking at the conference, not question
 and the joy out the entire graph, not question
 None, not question
 we are young eng of both genders and we have a duncan was done can, not question
 i know many of your sight years wanting money know if this is something you want to do so i'm going to tell you about what we're going to do this semester and what you'll know when you get out of here, not question
 well it must have something to do with thinking so let's start up here a definition of artificial intelligence by saying that its about thinking whatever that is my definition artificial intelligence has to be rather broad, not question
 the farmer, not question
 hello walk you through this at one, not question
 and it is full of, not question
 None, not question
 None, not question
 there's a river and the ear about the can i carry the farmer and one of us for possessions, not question
 it's the thing for unwinding now have a place to hang that knowledge, not question
 because model making is whatever it is about, not question
 if not support, not question
 but every once in a while we get something, not question
 i will still can't principle says that what you can name something you get power over you know if the whole thing is on the end of your shoe lace, not question
 so artificial intelligence about constraint expose my ribs and patient support model stargazing well actually there's one more thing to not quite done, not question
 i don't know if i can do this microphone to will see what happens to be a good year we got, not question
 so what is it, question
 and that's about action, not question
 right knee jerk reaction to say we are how to build models as over doing it with bill model d differential equations, not question
 stop by eighty two and he was offices and a c and i will be less often on campus but will be here quite often and definitely love to be more, not question
 i should that products would generic that equity products, not question
 or even sure there, not question
 and it's always my story possession my personal story and, not question
 this story is actually, not question
 i open the tree trunk, not question
 oh actually, not question
 lot of these terms will newly introduced, not question
 changes from private to public, not question
 have, not question
 and quite a few of them, not question
 what's up how's the final mathematics but, question
 recently doubled up the main instructors is we have newly added back lectures mostly focusing onionn, not question
 okay yeah that's about right twenty percent and how many students are you in finance and business major, question
 to prepare you some basic background knowledge about the financial markets, not question
 oh, not question
 and products will be listed as securities on the suggestions, not question
 the point i'm trying to tell you is before you dive into any details of mathematics, not question
 None, not question
 is it, not question
 experiencing this change, not question
 practitioners from the industry trouble with family talking about examples how, not question
 are you still answering my question he handed over the training manual for annual employees and you analysts, not question
 and are members of the public happen, not question
 the first day i set down, not question
 is it okay yeah and so we got some good response last year so with the support of the math department we decide to expand, not question
 so what has changed over the last twenty or thirty years, question
 hi training mathematics and computer science, not question
 and that's with different, not question
 after the primary market, not question
 that's the question you need to ask those people to know the specifics, question
 today's lecture was a story, not question
 any, not question
 this is the field event in the last, not question
 you're the one hundred to vega of zap unworkable kind of a, not question
 and you know i certainly didn't expect i will be doing this when i was at my key but i did that in the last, not question
 that's, not question
 and to now of days if you walk on the trading floor in the country part of the traitors most of them have advanced degrees, not question
 what are the forms, question
 with that i will give you some background of all the financial markets, not question
 most of the hurricane how many of you are engineering majors, not question
 and the new this ways really just sent us emails and that which you'll find from the class website, not question
 it from the outside probability the statistics and the sum so has the calculus to give you the foundation to understand the mass, not question
 is the right or wrong you mathematics is it right or wrong you fix, not question
 think about what is really the for what is really finances law is really about, not question
 to calm the police agree to do a trade, not question
 no re the sound of your quest just ask some question to raise your hand and give us a, not question
 with the rest of the story off of a delta gamma say that which you one from, not question
 again what's in common, question
 the story actually was in the mid nineties, not question
 to join options trading desk, not question
 this is the second time we have in this class we had last year in small evolution, not question
 and i'm obviously not gonna tell you the story of pilot life of pie it's not the financial story, not question
 twenty years so, not question
 visit me to open course ware not w that m it dot edu, not question
 i myself personally, not question
 loans, not question
 to go to morgan stanley in new york, not question
 it was probably one of the data point, not question
 primary listing, not question
 i will just left salomon brothers that was my first financial industry job, not question
 local, not question
 but hows concept established or, question
 some of them typically join the firm's in the mail room, not question
 bombs and the occurrences for the already given the forms so, not question
 your future career you factor last year, not question
 obviously we have offices here you can use it, not question
 you know this is suppose we options trading the s so he look in the kennel puzzle, not question
 weekly ad that's right okay so i turn around asking my desk phone as it was available, not question
 participants products matos methodology everything are changing very rack, not question
 and everybody was stock is one form of treating people one for my financial products, not question
 so what we witnessed in the last thirty years was really transformation, not question
 no one has money to lend out someone these borrow money, not question
 kappa is actually a greek letter, not question
 and, not question
 it, not question
 None, not question
 just one, not question
 new filter, not question
 this industry, not question
 that's why i to work right now and but my i forgot to mention that even that but i'm affiliated with suppose that nasty pond and the some school yet so so anyway thanks for that will be doing been more polling along the way may need to get the back of how you feel about us, not question
 mostly thirty years, not question
 start it and that's really the history part of this, not question
 very quickly as i can found sum of others and i caught cap the last seventeen years, not question
 None, not question
 and so i turned around i ask my desk light, not question
 on, not question
 okay and how many of you a mass message, question
 and a quiz in, not question
 and became traitor late on that's typical career path, not question
 it's not like, not question
 new content and the we put the pretty reckless about the mass for that they have, not question
 i won't tell your wife the truth story related, not question
 when accompanied, not question
 actually found a mans so actually and was stanley is not called vega is caught cap, not question
 why did i tell you the story what points i try to make, question
 of the tree of the treating profession coming from, not question
 heater and to go in the bus is passes so i'm compatible to vegas to buy two of the photos so it what's unique about of a on this list, not question
 okay, not question
 very, not question
 yeah and, not question
 when you start it, not question
 result really subject to exchange rules or the underlying treating agreement, not question
 the further i look at on the same page that was actually a footnote which i copied them so the footnote about why is called a kappa at the, question
 and once the stock is listed on the exchange, not question
 will we talk about trading stocks of those of people trade baskets of socks the groups of socks and that's stock index or indices, not question
 None, not question
 and the different regions have different changes and markets as well and they typically specialize in local products local company stocks, not question
 the security highest product or standardized whole you know what awaits you define that, not question
 and what you really need to ask questions is, question
 there's a changes right they become centralize the stock exchanges futures exchanges all over the world, not question
 so that's the story so, not question
 finance was a quantitative profession that's always, not question
 and educated traders, not question
 that's, not question
 None, not question
 None, not question
 it's not really, not question
 None, not question
 for the people who haven't heard about before it's a measurement about a book of portfolio or position sensitivity quality so what is volatility, question
 play was introduced, not question
 in modern finance and help you decide if this is a few that you would be an, not question
 how many of you actually know what vega, question
 right so, not question
 damn it open course ware continue to offer high quality educational resources for free, not question
 i'm always family, not question
 where is that make a report a case i can show you, question
 and that the pricing model of options as you know, not question
 so anyway today yes yeah i will we will have a mighty you know switch on listed on the website, not question
 okay great cuz last year we had quite a few so i want to specifically tell you that you're very welcome to attend because he is so is open door and last month but we have a couple of students from harvard, not question
 goes to this i appeal process, not question
 when we finish the class we had a few students coming to work in the industry so what campbell is seventy so work else were, not question
 it's very mind, not question
 which again you the more you know rigorous terms, not question
 oh captain, not question
 does not have to be, not question
 mute off it is really a measurement or indication of hall bottle power what's the standard deviation of a price can change over time okay just so even though right now i'm not gonna ask questions later so my that's a hot look in the set, not question
 that's my first day and was stanley but, not question
 eighty percent of case that is that's a how many credits since i get this over from, question
 so anyway i was taught, not question
 we just, not question
 further solidify you math knowledge learned on, not question
 last year of the policies gel and i i'm by the way i'm jake shaw and that's out of a city and we were the main instructors last year now we've doubled up to full pay instructors that's about peter cancel and that up the tube on the, not question
 so, not question
 i really just one form of treating and when you think of me the many other ways of treating aside from exchanges, not question
 anyways so that was my first day side jobs and learn how to, not question
 so that's that's really the goal and at the same time obviously you will, not question
 okay i feel how many of you actually from other universes the, not question
 that's one way of treating which is centralized, not question
 i would say, not question
 no financial products is, not question
 okay we know so anyway i'm not gonna it just, not question
 so we talk about markets we know the thirty days right people need to exchange goods you have something i don't have something you don't have so, not question
 kappa is also called the big up by some uneducated traders salomon brothers wedding fried to join they have mistaken vega as a greek letter after gambling in vegas so, not question
 and it becomes traded in the market with cut secondary trading, not question
 mathematical will quantitative finance is that by the, not question
 and mostly, not question
 discuss to the total units of credit and how twice a week so we have every tuesday and thursday afternoon from two thirty to four as you know in this classroom, not question
 home so that it is applied, not question
 yes, not question
 and, not question
 so that the different types of hard to start give listed on the stock exchange goes to ipo initial public offering process, not question
 currency issued by different countries, not question
 any concept in finance in this class, not question
 the website is www dot dot, not question
 mostly, not question
 i found something was missing, not question
 is over the counter meeting, not question
 the primary market, not question
 so i will use today's for such as time to give you introduction really, not question
 or the mascot is going to smoke with finance part is been confusing, not question
 define verify because this is a feel the transformation about, not question
 obviously the last ten fifteen years now we have the cs you actually electronic platforms trait over you know you enlarge a volume of those traits, not question
 the black shows in the seventies some of the run what made gumbo earlier but, not question
 to make a donation or view additional materials from hundred of them it courses, not question
 and curses money itself was he traded, not question
 will be used in those examples in the lecture hall by the practitioners from the industry and its purpose of this course is ready to give us amply manual to see, not question
 okay if you had your that and so hopefully this will give you enough information to decide this is a few of you like the sue, not question
 some terminology is will be use which you may not have heard before, not question
 glasses here for the seventy on cam doesn't mean i'm gonna be the instructor on mondays at the advisor and this is worth three three cartons, not question
 so this is actually on hopefully get you use to playing against other people who are playing correctly which is not something you can calmly learn just from, not question
 i think the way that we can tackle this thing it is kind of a way i recommend that you learn anything complicated so, not question
 very similar to each other but then the tournament that really matter will be completely different at least relatively different so that's under that that's they'll make you get a feel for what these guys have to go through um so let's talk about her rose, not question
 let's go into the game plastic more so posers crib that's probably frost which is really cool so poker stars is is generally considered like the most reputable on line poker site that's why we use them so they have two different types of games of everyone employment games now will, not question
 definitely not okay for real money how ever their play money seen is is pretty resilient and that's or taking advantage of your the process play money scene is broken down to two different things they have like public intrigued just go and play for like play chips in against anyone in the world which is cool and you can do that when i recommend you give it a shot just to get used to the software i'm in addition you can do home searches what were generally gonna be doing that so they call the like private leaves, not question
 None, not question
 None, not question
 from like playing around with your friends on in addition, not question
 alright everyone so welcome to fifty dot es fifty people there and analytics services gonna be monday wednesday friday from three thirty to five i just got a room for review session on tuesday thursday for anyone who needs to catch up a little bit, not question
 visit mi to open course ware at os ew dot am it dot edu, not question
 and then for their second tournament there giving us all of those things plus an ipad air and an i pad mini but we're not done yet because this class is focused on playing live we're going to end the class with alive tournament sponsored by october on the thirty first which is the day after the last day of the class so after leagues over after you guys are good at poker but you'll have an opportunity to play each other in alive tournament, not question
 listen i pad plastic end of us to go pro i want this to reflect, not question
 we were gonna break this down to three different sections like fundamental concepts, not question
 which is good means given by that poker chip for the pain, not question
 None, not question
 if you're in the us you can do real money like it used to be some was very gray area, not question
 practice which are actually implementing those concepts when like when you have ten seconds to make a decision and then more advance stuff okay so where it was going to concepts i'm gonna call this of the basic framework for decision making it's like being on explorer we like you wanna get to level when you sit down at a table every pro in the room doesn't turn ago i wanna set back as table you wanna be slightly winning player way before you want to become like a huge wedding player in order to let you know the type of thing that we're learning i'm gonna label the sides with this indicate that this is like a basic concept learn this thing before you move are the advance stuff is once you once you learned how to do things which is like how to do things is pretty is pretty broad we're gonna learn like minor adjustments that we can do to get on quite a bit of extra money but how to grind out that i need that additional like half big blind in our out of out of our opponents, question
 and this pros we'll just grind those out though get use to the structure and that's real world, not question
 it became and then there was one progress eight which turned out to be like legitimately like a ponzi scheme and as a result now procure in in the us is it much more black and white, not question
 i know it so let's, not question
 no like no live pro to get as many hands are analyzer play in the way that you can do online dishes it's not a comparative so this is giving even if your of your whole intention is to only play on live the entire reciever life doing this type of analytics would give you a chance to learn at a much faster rate and learn things that you and never see live so every week we're going to have a major tournament which is basically gonna be the same structure maybe a lol bit slower than the ones we do delhi except they're gonna have real prizes so of tuna is giving us for their first tournament, not question
 it open course ware continue to offer high quality educational resources for free, not question
 and then a lot of discussing the focus on practice which is how to actually implement late how to implement these concepts on a on a daily basis and are actually playing so especially live like we are not gonna have all the information we're not gonna have a calculators and we're not gonna have that much time to make a decision so how does like applied israel time making rules of thumb figure out what you can't just ignore and what you have to definitely do and then some the psychology stuff for later actually performing live is gonna be one contract is, question
 None, not question
 there are gonna be doing proof of announces we're gonna be doing a lot of this because this is really like is this is where the value at is gonna be is getting this right, not question
 like an on-line multi table tournament firewood how it normally works is during the week and basically every single day there's a uniform out of tournament so just run every single day like at the top of the hour, not question
 okay so let's say about the lead and honestly i think they this league is going to be really cool usually the the the evolution of a player is like they're terrible at poker and then they start becoming good at playing against bad people and then when they actually start playing for real they got crushed again because there used to play against other bad people, not question
 what the what the type of things, question
 so any any real deviations from warren armando normally do in addition to medicare and medicaid was always fine like anything not related to the hand to hand decision-making process like table selection or like bankroll management or but deciding whether or not to play it that suffers really fondness can be indicated by this ac okay so i will label the side for anything that's considered advanced and stuff fish only really do when you get the concepts down, not question
